datetime,Latitude,Longitude
2020-02-19 16:41:44,nan,nan
2020-02-19 16:41:47,nan,nan
2020-02-19 16:41:50,nan,nan
2020-02-19 16:41:53,nan,nan
2020-02-19 16:41:56,nan,nan
2020-02-19 16:41:59,nan,nan
2020-02-19 16:42:02,nan,nan
2020-02-19 16:42:05,nan,nan
2020-02-19 16:42:08,nan,nan
2020-02-19 16:42:11,nan,nan
2020-02-19 16:42:14,nan,nan
2020-02-19 16:42:17,nan,nan
2020-02-19 16:42:20,nan,nan
2020-02-19 16:42:23,nan,nan
2020-02-19 16:42:26,nan,nan
2020-02-19 16:42:29,nan,nan
2020-02-19 16:42:32,nan,nan
2020-02-19 16:42:35,nan,nan
2020-02-19 16:42:38,nan,nan
2020-02-19 16:42:41,nan,nan
2020-02-19 16:42:44,nan,nan
2020-02-19 16:42:48,nan,nan
2020-02-19 16:42:51,nan,nan
2020-02-19 16:42:54,nan,nan
2020-02-19 16:42:57,nan,nan
2020-02-19 16:43:00,nan,nan
2020-02-19 16:43:03,nan,nan
2020-02-19 16:43:06,nan,nan
2020-02-19 16:43:09,nan,nan
2020-02-19 16:43:12,nan,nan
2020-02-19 16:43:15,nan,nan
2020-02-19 16:43:18,nan,nan
2020-02-19 16:43:21,nan,nan
2020-02-19 16:43:24,nan,nan
2020-02-19 16:43:27,nan,nan
2020-02-19 16:43:30,nan,nan
2020-02-19 16:43:33,nan,nan
2020-02-19 16:43:36,nan,nan
2020-02-19 16:43:39,nan,nan
2020-02-19 16:43:42,nan,nan
2020-02-19 16:43:45,nan,nan
2020-02-19 16:43:48,nan,nan
2020-02-19 16:43:51,nan,nan
2020-02-19 16:43:54,nan,nan
2020-02-19 16:43:57,nan,nan
2020-02-19 16:44:00,nan,nan
2020-02-19 16:44:03,nan,nan
2020-02-19 16:44:06,nan,nan
2020-02-19 16:44:09,nan,nan
2020-02-19 16:44:12,nan,nan
2020-02-19 16:44:15,nan,nan
2020-02-19 16:44:18,nan,nan
2020-02-19 16:44:21,nan,nan
2020-02-19 16:44:24,nan,nan
2020-02-19 16:44:27,nan,nan
2020-02-19 16:44:30,nan,nan
2020-02-19 16:44:33,nan,nan
2020-02-19 16:44:36,nan,nan
2020-02-19 16:44:39,nan,nan
2020-02-19 16:44:42,nan,nan
2020-02-19 16:44:45,nan,nan
2020-02-19 16:44:48,nan,nan
2020-02-19 16:44:51,nan,nan
2020-02-19 16:44:54,nan,nan
2020-02-19 16:44:57,nan,nan
2020-02-19 16:45:01,nan,nan
2020-02-19 16:45:04,nan,nan
2020-02-19 16:45:07,nan,nan
2020-02-19 16:45:10,nan,nan
2020-02-19 16:45:13,nan,nan
2020-02-19 16:45:16,nan,nan
2020-02-19 16:45:19,nan,nan
2020-02-19 16:45:22,nan,nan
2020-02-19 16:45:25,nan,nan
2020-02-19 16:45:28,nan,nan
2020-02-19 16:45:31,nan,nan
2020-02-19 16:45:34,nan,nan
2020-02-19 16:45:37,nan,nan
2020-02-19 16:45:40,nan,nan
2020-02-19 16:45:43,nan,nan
2020-02-19 16:45:46,nan,nan
2020-02-19 16:45:49,nan,nan
2020-02-19 16:45:52,nan,nan
2020-02-19 16:45:55,nan,nan
2020-02-19 16:45:58,nan,nan
2020-02-19 16:46:01,nan,nan
2020-02-19 16:46:04,nan,nan
2020-02-19 16:46:07,nan,nan
2020-02-19 16:46:10,nan,nan
2020-02-19 16:46:13,nan,nan
2020-02-19 16:46:16,nan,nan
